indice,nombre,categoria,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),"fibra, dietetica total",carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
0,Arroz con leche,Lácteos,0.0,92,1.3,3.3,78.9,0.1,16.4,,0.31,0.08,0.77,,,,,,0.009,,,,,1.8e-05,1.0000000000000001e-07,0.00015,5e-06,0.0008100000000000001,0.00013000000000000002,4e-05,2.4e-07,8.999999999999999e-05,0.0,0.109,0.0002,0.138,0.014,0.038,0.096,6.3e-06,1.8999999999999998e-06,0.0003
1,Batido de chocolate,Lácteos,0.0,83,3.6,2.7,83.1,0.8,9.8,,1.0,0.1,2.3,0.025,0.088,0.302,0.146,0.202,0.013,0.022,0.003,0.001,,3.617e-05,0.0,8.999999999999999e-05,5e-06,0.00075,8.999999999999999e-05,4e-05,3.6e-07,4e-05,0.001,0.111,0.0003,0.192,0.022,0.049,0.095,7.2000000000000005e-06,1.8999999999999998e-06,0.0004
2,Batido de fresa,Lácteos,0.0,66,1.0,2.8,84.2,0.8,11.2,,2.9,0.7,0.62,0.025,0.088,0.302,0.146,0.202,0.012,0.022,0.003,0.001,,2.2800000000000002e-05,1e-08,4e-05,1.72e-06,0.00074,0.00019,4e-05,2.0000000000000002e-07,4e-05,8.999999999999999e-05,0.11,8.999999999999999e-05,0.183,0.01131,0.095,0.09,7.2000000000000005e-06,2.3e-06,0.00039
3,Batido de soja,Lácteos,0.0,82,5.2,5.0,85.9,0.0,3.9,,1.0,2.6,0.6,,,,,,0.0,,,,,0.0,0.0,0.00074,1.9e-05,0.0001,2.9999999999999997e-05,7.000000000000001e-05,0.0,7.000000000000001e-05,0.00047,0.1,0.0004,0.12,0.015,0.032,0.047,0.0,1.3e-06,0.0002
4,Batido fermentado de soja,Lácteos,0.0,90,1.18,2.35,78.18,0.6,17.06,,1.0,2.6,0.0,,,0.4176,0.2088,0.7772,0.0,1.264,0.1305,,,0.0,0.0,0.0,1.9e-05,0.0001,2.9999999999999997e-05,7.000000000000001e-05,0.0,,0.0176,0.176,0.00064,0.12,0.015,0.015,0.047,0.0,1.3e-06,0.0002
5,"Batido de chocolate, bajo en calorías",Lácteos,0.0,48,1.9,3.1,90.4,0.0,4.6,,0.0,0.1,0.3,,,,,,0.0,,,,,7.03e-05,3e-07,0.0007,2.11e-05,0.0013,0.00017999999999999998,0.0001,3.6e-07,0.00015,0.004200000000000001,0.11,0.0011,0.1807,0.0246,0.0883,0.095,1.06e-05,3.7e-06,0.0009
6,"Batido de fresa bajo en calorías",Lácteos,0.0,112,0.34,3.8,72.9,1.6,22.9,,0.0,0.1,0.3,,,,,,0.0034,,,,,7.03e-05,3e-07,0.0007,2.11e-05,0.0013,0.00013000000000000002,0.0001,2.0000000000000002e-07,0.00015,0.004200000000000001,0.11159999999999999,0.0011,0.1807,0.0246,0.0883,0.0528,1.06e-05,3.7e-06,0.0009
7,Bebida de soja,Lácteos,0.0,53,1.84,3.2,87.9,1.3,5.76,,0.314,0.802,0.206,,,,,,0.0,,,,,2e-06,0.0,0.00074,1e-06,0.000883,0.00041999999999999996,0.00011999999999999999,0.0,6.2e-05,0.0,0.1,0.0008,0.191,0.028,0.003,0.047,0.0,1.3e-06,0.00039
8,Crema catalana,Lácteos,0.0,104,2.9,3.7,77.9,1e-12,15.48,,0.76,0.06,1.89,,,,,,0.01,,,,,6.3e-05,8.3e-07,0.0001,5e-06,0.001,0.00017999999999999998,4e-05,5e-07,5.9999999999999995e-05,0.001,0.13,0.0001,0.16,0.013,0.081,0.11,8.3e-06,2.7e-06,0.0004
9,Cremoso san millan,Lácteos,0.0,262,25.0,6.7,63.0,0.0,3.0,,6.6,0.7,14.3,,,,,,0.065,,,,,0.00020380000000000002,6.5e-07,0.00023999999999999998,3.5e-06,0.00011999999999999999,1e-12,5e-05,2.2e-07,8e-05,1e-12,0.095,0.0002,0.098,0.025,0.457,0.067,2.9e-05,6e-06,0.0021000000000000003
10,Cuajada,Lácteos,0.0,87,4.7,4.5,84.2,0.0,6.6,,1.3,0.2,2.9,,,,,,0.0066,,,,,4.2e-05,2.1e-07,0.00023,5e-06,0.001,0.00022,5e-05,3e-07,0.00011999999999999999,0.0,0.178,0.0001,0.218,0.016,0.064,0.129,9e-06,9e-06,0.0005
11,Flan de huevo,Lácteos,0.0,133,3.4,4.8,70.0,1e-12,20.4,,1.82,0.53,2.03,,,,,,0.147,,,,,9.5e-05,5.8e-07,0.00023,9e-06,0.00043,0.00017,5e-05,6e-07,0.0001,0.0,0.091,0.0007,0.122,0.013,0.063,0.107,3.3e-05,4.6e-06,0.0006
12,Helado de chocolate,Lácteos,0.0,228,11.0,3.8,55.7,1.2,28.2,,3.21,0.41,6.8,3.191,1.235,0.84,0.9,0.4,0.034,0.172,0.003,,,1.04e-05,2.0000000000000002e-07,0.0003,1.6e-05,0.00022600000000000002,0.000194,4.2000000000000004e-05,2.9e-07,5.5e-05,0.0007,0.109,0.00093,0.249,0.029,0.076,0.107,1e-12,2.5e-06,0.00058
13,Helado de fresa,Lácteos,0.0,200,8.4,3.2,60.0,0.9,27.6,,1e-12,1e-12,5.19,3.191,1.235,0.84,0.9,0.4,0.029,0.172,0.003,,,9.6e-05,1e-12,1e-12,1.2e-05,0.00017,0.000255,4.4999999999999996e-05,3e-07,5e-05,0.0077,0.12,0.00020999999999999998,0.188,0.014,0.06,0.1,1e-12,1.8999999999999998e-06,0.00034
14,Helado de nata,Lácteos,0.0,211,10.8,3.9,60.0,0.0,24.4,,2.8,0.3,7.3,3.191,1.235,0.84,0.9,0.4,0.03,0.172,0.003,,,0.00011229999999999999,1.0000000000000001e-07,0.0005,2e-06,0.001,0.00023,4e-05,5e-07,2e-05,0.0013,0.146,0.0001,0.19,0.014,0.044,0.12,1.5e-05,3.5e-06,0.0005
15,Kefir,Lácteos,0.0,64,3.5,3.3,88.4,0.0,4.8,,1.0,0.1,2.3,,,,,,0.014,,,,,3.06e-05,1.01e-07,9.2e-05,2.1e-05,8.7e-05,0.000203,4.4999999999999996e-05,1.8e-07,3.8e-05,0.0003,0.127,0.00013000000000000002,0.16,0.014,0.046,0.09,2.43e-05,1.3e-06,0.00044
16,"Leche condensada, entera, con azúcar",Lácteos,0.0,336,9.2455,8.5095,25.3015,0.0,53.65,,2.4153,0.231,6.0907,,,,,,0.03,,,,,9.75e-05,1.0000000000000001e-07,0.000185,8e-06,0.00022,0.000465,8.5e-05,5.05e-07,5.9999999999999995e-05,0.0015,0.289,0.0001625,0.37,0.02835,0.1245,0.2325,0.00016,3e-06,0.000536
17,Leche de almendra,Lácteos,0.0,353,5.5,14.5,97.05,6.0,60.0,,0.76,1.02,0.43,,,,,,0.0,,,,,0.00012,5e-06,8.999999999999999e-05,,7.5e-05,0.00015,0.006,,,,0.2,0.002,0.42,0.06,0.018,0.28,,,
18,Leche de cabra,Lácteos,0.0,65,3.7037,3.4,87.5,0.0,4.4,0.0014,0.9,0.1,2.5,0.206,0.518,1.378,0.6,1.14,0.011,0.131,0.022,0.012,0.0019,4e-05,6e-08,2.9999999999999997e-05,1e-06,0.0011,0.00015,4e-05,1.0000000000000001e-07,4e-05,0.002,0.12,0.0001,0.185,0.014,0.045,0.103,0.0,2e-06,0.0005
