Recipe_id|Categoria|Nombre|Valoracion|Dificultad|Num_comensales|Tiempo|Tipo|Link_receta|Num_comentarios|Num_reviews|Fecha_modificacion|Ingredientes|parse_rate|total_ingredients|parsed_ingredients
74154|Recetas de Aperitivos y tapas|Receta de burritos norteños||muy baja|5.0|30m|Entrante|https://www.recetasgratis.net/receta-de-burritos-nortenos-74154.html|0|0|2020-03-25|10 tortillas de harina para burritos,500 gramos de chorizo,1½ tazas de alubias molidos,1 taza de queso de hebra,1 taza de lechuga rebanada,3 cucharadas soperas de cebolla blanca picada,1 pizca de sal|1.0|7.0|7.0
74146|Recetas de Aperitivos y tapas|Receta de croquetas de pollo caseras de la abuela||baja|4.0|45m|Entrante|https://www.recetasgratis.net/receta-de-croquetas-de-pollo-caseras-de-la-abuela-74146.html|0|0|2020-03-24|1 pechuga de pollo cocida y troceada,1 pellizco de nuez moscada molida,150 gramos de mantequilla,2 huevos,1 trozo de cebolla,2 vasos de leche (puede ser semidesnatada),1 tarro de pan rallado,1 pellizco de sal,3 cucharadas soperas de harina de trigo,2 vasos de aceite de girasol para freír,1 pellizco de pimienta negra molida|1.0|11.0|11.0
74056|Recetas de Aperitivos y tapas|Receta de tomates cherry confitados||baja|6.0|1h 30m|Acompañamiento|https://www.recetasgratis.net/receta-de-tomates-cherry-confitados-74056.html|0|0|2020-02-26|500 gramos de tomates cherry,1 rama de romero fresco,1 rama de tomillo fresco,1 rama de albahaca fresca,3 dientes de ajos,1 cucharada postre de sal,1 cucharadita de azúcar,1 cucharadita de pimienta negra en grano,200 mililitros de aceite de oliva virgen|1.0|9.0|9.0
74043|Recetas de Aperitivos y tapas|Receta de edamame||muy baja|4.0|10m|Entrante|https://www.recetasgratis.net/receta-de-edamame-74043.html|0|0|2020-02-18|1 bolsa de edamame (vainas de soja),1 pellizco de sal fina,1 litro de agua,1 pellizco de escamas de sal,1 pellizco de pimentón dulce|1.0|5.0|5.0
73727|Recetas de Aperitivos y tapas|Receta de bechamel para croquetas||baja|3.0|15m||https://www.recetasgratis.net/receta-de-bechamel-para-croquetas-73727.html|0|0|2020-02-04|1 litro de leche,50 gramos de mantequilla,1 cebolla,60 gramos de harina,pimienta al gusto,1 cucharada postre de nuez moscada,sal al gusto,1 cucharada sopera de aceite de oliva|1.0|8.0|8.0
74020|Recetas de Aperitivos y tapas|Receta de farofa brasileña||baja|1.0|30m|Acompañamiento|https://www.recetasgratis.net/receta-de-farofa-brasilena-74020.html|0|0|2020-02-04|1 cebolla grande,1 chorro de aceite,2 cucharadas soperas de mantequilla,1 taza de harina de yuca o tapioca especiada|1.0|4.0|4.0
73994|Recetas de Aperitivos y tapas|Receta de tarta de choclo||media|2.0|30m||https://www.recetasgratis.net/receta-de-tarta-de-choclo-73994.html|0|0|2020-02-12|200 gramos de harina,1 pizca de sal,1 pizca de pimienta,1 pizca de orégano,3 cucharadas soperas de aceite,1 chorro de agua,2 mazorcas de maíz,1 cebolla,2 cucharadas soperas de azúcar,1 pizca de sal,200 gramos de queso mozzarella,100 gramos de queso parmesano|1.0|12.0|12.0
73934|Recetas de Aperitivos y tapas|Receta de empanadillas de espinacas||baja|4.0|30m||https://www.recetasgratis.net/receta-de-empanadillas-de-espinacas-73934.html|0|0|2019-12-31|1 paquete de obleas de empanadillas,1 paquete de espinacas,20 gramos de piñones,20 gramos de pasas,1 chorro de aceite,1 unidad de cebolla,1 pizca de sal,1 vaso de aceite para freír|1.0|8.0|8.0
73919|Recetas de Aperitivos y tapas|Receta de muhammara||baja|10.0|1h 30m|Entrante|https://www.recetasgratis.net/receta-de-muhammara-73919.html|0|0|2019-12-24|2 unidades de pimientos rojos,50 gramos de nueces peladas,30 gramos de pan rallado,2 dientes de ajo,1 cucharada postre de melaza de granada,2 pellizcos de comino, sal,2 pellizcos de pimienta aleppo o pul biber,1 chorro de zumo de limón,4 cucharadas soperas de aceite de oliva virgen extra|1.0|10.0|10.0
73878|Recetas de Aperitivos y tapas|Receta de nueces caramelizadas||baja|6.0|15m|Acompañamiento|https://www.recetasgratis.net/receta-de-nueces-caramelizadas-73878.html|0|0|2019-12-09|400 gramos de nueces con cáscara,1 cucharada sopera de mantequilla,1 vaso pequeño de azúcar moreno,1 copa de agua con unas gotas de zumo de limón|1.0|4.0|4.0
