,Recipe_id,Total_Grams,Num_comensales,Categoria
0,1,168.0,4.0,Cócteles y bebidas
1,5,186.0,6.0,Recetas de Verduras
2,8,842.5,4.0,Cócteles y bebidas
3,10,1100.0,1.0,Cócteles y bebidas
4,27,631.0,4.0,Recetas de Pescado
5,29,4000.0,3.0,Recetas de Arroces y cereales
6,36,776.0,4.0,Recetas de Aperitivos y tapas
7,43,703.0,3.0,Recetas de Pasta
8,50,483.0,4.0,Recetas de Huevos y lácteos
9,51,951.0,4.0,Recetas de Mariscos
10,52,244.0,10.0,Recetas de Pescado
11,53,552.0,4.0,Recetas de Verduras
12,56,589.0,4.0,Recetas de Verduras
13,61,1879.0,3.0,Recetas de Mariscos
14,68,2293.5,4.0,Recetas de Aperitivos y tapas
15,72,1480.0,6.0,Recetas de Huevos y lácteos
16,73,1504.0,6.0,Recetas de Huevos y lácteos
17,84,887.5,4.0,Recetas de Postres
18,92,480.0,4.0,Recetas de Pan y bollería
19,97,1780.0,2.0,Recetas de Postres
20,98,2620.0,2.0,Recetas de Pan y bollería
21,107,1585.5,4.0,Recetas de Postres
22,108,1638.0,4.0,Recetas de Postres
23,109,1346.0,2.0,Recetas de Postres
24,1734,183.0,4.0,Recetas de Carne
25,6313,2277.5,4.0,Recetas de Carne
26,6320,308.5,,Recetas de Aves y caza
27,6326,1226.0,,Recetas de Carne
28,6332,421.0,,Recetas de Carne
29,6351,975.5,,Recetas de Arroces y cereales
30,6363,677.0,,Recetas de Postres
31,6371,1082.5,4.0,Recetas de Verduras
32,6388,841.0,15.0,Recetas de Arroces y cereales
33,6393,1198.5,4.0,Cócteles y bebidas
34,6394,2275.0,2.0,Recetas de Postres
35,6451,861.0,,Recetas de Sopas y cremas
36,6459,2007.0,,Recetas de Sopas y cremas
37,6480,1594.0,2.0,Recetas de Aves y caza
38,6489,1208.0,2.0,Recetas de Carne
39,6497,2137.0,4.0,Recetas de Carne
40,6504,2026.0,2.0,Recetas de Aves y caza
41,6505,2482.0,2.0,Recetas de Carne
42,6559,876.0,5.0,Cócteles y bebidas
43,6563,499.0,2.0,Cócteles y bebidas
44,6577,660.0,2.0,Cócteles y bebidas
45,6578,3200.0,2.0,Cócteles y bebidas
46,6592,120.0,8.0,Recetas de Carne
47,6600,3535.0,2.0,Cócteles y bebidas
48,6608,1535.25,2.0,Recetas de Legumbres
49,6609,3784.75,2.0,Recetas de Arroces y cereales
50,6618,899.5,2.0,Recetas de Verduras
51,6630,585.0,1.0,Recetas de Ensaladas
52,6637,1689.5,6.0,Recetas de Ensaladas
53,6654,1297.5,2.0,Recetas de Ensaladas
54,6666,1831.0,4.0,Recetas de Aperitivos y tapas
55,6667,546.0,1.0,Recetas de Pan y bollería
56,6676,675.0,2.0,Recetas de Postres
57,6684,806.0,5.0,Recetas de Postres
58,6704,326.5,1.0,Recetas de Huevos y lácteos
59,6705,167.0,,Recetas de Aperitivos y tapas
60,6708,362.0,1.0,Recetas de Mariscos
61,6709,630.5,1.0,Recetas de Aperitivos y tapas
62,6712,654.0,2.0,Recetas de Mariscos
63,6716,319.0,1.0,Recetas de Mariscos
64,6717,2630.0,1.0,Recetas de Aperitivos y tapas
65,6718,865.0,5.0,Recetas de Mariscos
66,6719,1168.0,1.0,Recetas de Carne
67,6744,2143.0,1.0,Recetas de Pasta
68,6773,992.0,,Recetas de Aperitivos y tapas
69,6777,941.0,,Recetas de Pescado
70,6784,2500.0,2.0,Recetas de Pan y bollería
71,6787,587.0,,Cócteles y bebidas
72,6792,316.0,,Recetas de Aves y caza
73,6801,2811.0,,Recetas de Mariscos
74,6809,1150.5,,Recetas de Postres
75,6823,1010.0,1.0,Recetas de Postres
76,6835,902.0,4.0,Recetas de Postres
77,6837,5135.0,10.0,Recetas de Postres
78,6842,1007.0,4.0,Recetas de Postres
79,6843,711.0,4.0,Recetas de Postres
80,6852,1930.0,,Recetas de Postres
81,6858,1095.003,,Recetas de Postres
82,6871,605.0,2.0,Recetas de Postres
83,6873,429.5,1.0,Recetas de Postres
84,6886,1352.0,,Recetas de Postres
85,6888,3198.0,4.0,Recetas de Pan y bollería
86,6892,613.5,,Recetas de Postres
87,6893,1447.0,,Recetas de Postres
88,6898,290.0,,Recetas de Postres
89,6902,2140.75,,Recetas de Postres
90,6916,1153.0,6.0,Recetas de Aves y caza
91,6925,102.0,,Recetas de Carne
92,6932,887.5,,Recetas de Verduras
93,6938,590.0,2.0,Recetas de Huevos y lácteos
94,6941,1407.0,,Recetas de Verduras
95,6942,399.0,,Recetas de Huevos y lácteos
96,6945,237.0,,Recetas de Aperitivos y tapas
97,6952,1043.5,,Recetas de Postres
98,6954,1845.0,,Recetas de Mariscos
99,6955,407.0,,Recetas de Verduras
100,6968,942.0,,Recetas de Huevos y lácteos
101,6973,402.0,,Recetas de Salsas
102,7006,2242.0,2.0,Recetas de Sopas y cremas
103,7010,1257.0,1.0,Recetas de Postres
104,7035,1542.0,2.0,Recetas de Sopas y cremas
105,7064,923.0,,Recetas de Ensaladas
106,7067,517.5,,Recetas de Ensaladas
107,7072,738.0,,Recetas de Ensaladas
108,7075,426.0,,Recetas de Ensaladas
109,7082,471.0,,Recetas de Ensaladas
