Recipe_id,alcohol,energia,grasa,proteina,agua,fibra,carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),Total_Grams
1,3.575,35.09,0.052,0.188,35.081,0.032,2.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.0,3.9e-05,6e-06,6e-05,5e-06,1.9e-05,0.0,1.4e-05,0.01224,0.00224,3.7e-05,0.03581,0.00232,0.00427,0.00319,1e-06,0.0,0.0,42.0
5,0.0,103.252526,5.622834,1.402017,38.449477,3.532494,10.663666,0.0,1.943786,0.233999,2.676944,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,7e-06,0.0,0.000843,1.3e-05,0.000526,6e-05,6.4e-05,0.0,0.000185,0.0049,0.035885,0.000524,0.178044,0.031209,0.008544,0.040281,3e-06,1e-06,0.000351,58.33445
8,0.0,44.9375,0.373438,2.30625,155.175,4.21875,7.909375,0.0,0.0275,0.220813,0.103063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1e-05,0.0,0.002456,7.5e-05,0.000697,0.000173,0.000119,0.0,0.000121,0.051094,0.12275,0.004634,0.260313,0.039056,0.009669,0.051344,3e-06,1e-06,0.000601,210.625
10,0.0,601.0,3.17,30.55,944.35,8.75,110.3,0.0,1.0,0.225,0.935,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.000232,0.0,0.000925,0.000133,0.0098,0.001365,0.000565,2e-06,0.001855,0.1321,0.88,0.00229,2.2595,0.1972,0.3945,0.744,4.2e-05,1.1e-05,0.003215,1100.0
27,0.0,1658.207052,153.715161,12.688162,173.427907,5.849558,59.213363,0.0,106.960332,19.628005,24.197162,0.0,0.014116,18.026196,3.775786,104.405382,0.062563,16.372766,0.979898,0.0,0.0,0.00013,1e-06,0.021679,5.6e-05,0.004717,0.000166,0.000219,0.0,0.00025,0.02601,0.08345,0.00266,0.555276,0.045692,1.049754,0.180909,1e-05,3.1e-05,0.001117,404.92792
29,0.0,1303.33332,3.0,24.666666,1009.666667,0.666667,288.666664,0.0,0.766667,1.066667,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.7e-05,0.010333,0.0001,0.000167,0.0,0.001,0.001667,0.086667,0.003167,0.496667,0.07,0.053333,0.36,7e-06,3.3e-05,0.000767,1333.33333
36,0.0,796.037122,43.452867,65.952821,198.691612,2.7,34.425,0.0,17.045458,6.037656,14.421655,0.02175,0.02175,2.42175,1.0365,5.55075,0.750609,1.4745,0.11175,0.0825,0.0,0.000374,4e-06,0.002528,0.00011,0.013855,0.001052,0.001052,5e-06,0.000663,0.0,0.131134,0.005761,0.523388,0.055968,2.344429,0.54912,5e-05,5.4e-05,0.004304,353.6598
43,0.0,1427.005817,116.513976,70.240896,585.467807,8.003462,26.329665,0.0,32.341532,3.617767,73.979378,0.0,0.0,0.0,0.0,0.0,0.374107,0.0,0.0,0.0,0.0,0.001169,9e-06,0.0031,0.000123,0.010695,0.002129,0.000471,5e-06,0.000502,0.012157,2.661142,0.004903,1.879465,0.185774,5.725088,1.845062,0.000115,3.2e-05,0.007573,840.47184
50,0.0,510.0325,53.297975,8.437031,57.7505,0.50025,0.5075,0.0,35.85525,6.245825,9.623175,0.0,0.0046,6.134,1.21825,32.582,0.25025,4.808,0.31825,0.0,0.0,0.000185,1e-06,0.006928,4.7e-05,0.002602,0.000311,8e-05,2e-06,8.9e-05,0.016308,0.055349,0.001971,0.155593,0.011146,0.191183,0.136898,1.5e-05,7e-06,0.000916,120.75
51,0.0,686.78237,61.393619,17.454238,504.784959,5.772688,14.201002,0.115625,46.450225,5.274798,8.5924,0.0,0.005866,6.101053,1.290607,45.875225,0.121875,3.9904,0.413148,0.000625,0.100625,0.000303,0.0,0.014499,0.000125,0.003626,0.00014,0.000221,4e-06,0.000175,0.08355,0.191391,0.00613,0.693199,0.055506,0.372169,0.36921,6.6e-05,1.7e-05,0.002142,603.82838
