,Recipe_id,alcohol,energia,grasa,proteina,agua,fibra,carbohidratos,ácido graso 22:6 n-3 (ácido docosahexaenóico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),colesterol,ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),ácido graso 20:5 (ácido eicosapentaenóico),Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc),Total_Grams,grasa_cals_pctg,proteina_cals_pctg,carbos_cals_pctg
0,1,3.575,35.09,0.052000000000000005,0.188,35.080999999999996,0.032,2.2319999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999999999999999e-05,0.0,3.9e-05,6e-06,5.9999999999999995e-05,5e-06,1.9e-05,0.0,1.4000000000000001e-05,0.012240000000000001,0.00224,3.7e-05,0.03581,0.00232,0.00427,0.0031899999999999997,1e-06,0.0,0.0,42.0,4.6,7.4,88.0
1,5,0.0,103.252526,5.622833999999999,1.402017,38.449477,3.5324940000000002,10.663666000000001,0.0,1.943786,0.23399899999999998,2.6769439999999998,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,7.000000000000001e-06,0.0,0.000843,1.3000000000000001e-05,0.000526,5.9999999999999995e-05,6.4e-05,0.0,0.000185,0.0049,0.035885,0.000524,0.178044,0.031208999999999997,0.008544,0.040281,3e-06,1e-06,0.00035099999999999997,58.33445,51.2,5.7,43.1
2,8,0.0,44.9375,0.373438,2.30625,155.175,4.21875,7.909375,0.0,0.0275,0.220813,0.10306300000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1e-05,0.0,0.002456,7.5e-05,0.000697,0.000173,0.00011899999999999999,0.0,0.000121,0.051094,0.12275,0.004634,0.260313,0.039056,0.009669,0.05134400000000001,3e-06,1e-06,0.000601,210.625,7.6,20.9,71.5
3,10,0.0,601.0,3.17,30.55,944.35,8.75,110.3,0.0,1.0,0.225,0.935,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.00023199999999999997,0.0,0.000925,0.000133,0.0098,0.0013650000000000001,0.0005650000000000001,2e-06,0.001855,0.1321,0.88,0.00229,2.2595,0.1972,0.3945,0.7440000000000001,4.2e-05,1.1e-05,0.003215,1100.0,4.8,20.6,74.5
4,27,0.0,1658.207052,153.71516100000002,12.688162,173.427907,5.849558,59.213363,0.0,106.96033200000001,19.628004999999998,24.197162,0.0,0.014116,18.026196,3.775786,104.40538199999999,0.062563,16.372766,0.9798979999999999,0.0,0.0,0.00013000000000000002,1e-06,0.021679,5.6000000000000006e-05,0.004717,0.000166,0.00021899999999999998,0.0,0.00025,0.026010000000000002,0.08345,0.00266,0.555276,0.045692,1.049754,0.180909,1e-05,3.1e-05,0.001117,404.92792000000003,82.8,3.0,14.2
5,29,0.0,1303.33332,3.0,24.666666,1009.666667,0.666667,288.666664,0.0,0.766667,1.066667,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.7e-05,0.010333,0.0001,0.000167,0.0,0.001,0.001667,0.086667,0.003167,0.496667,0.07,0.053333000000000005,0.36,7.000000000000001e-06,3.3e-05,0.000767,1333.3333300000002,2.1,7.7,90.2
6,36,0.0,796.119277,43.458946999999995,65.95966700000001,198.73345600000002,2.7,34.425,0.0,17.047632999999998,6.038608999999999,14.423353,0.02175,0.02175,2.42175,1.0365,5.55075,0.7508199999999999,1.4745,0.11175,0.0825,0.0,0.00037400000000000004,4e-06,0.002529,0.00011,0.013857,0.001053,0.001052,5e-06,0.000663,0.0,0.131165,0.005762,0.523459,0.055974,2.344505,0.549229,5e-05,5.4000000000000005e-05,0.004304,353.71457000000004,49.3,33.3,17.4
7,43,0.0,1427.514868,116.562779,70.25949399999999,585.5230280000001,8.003461999999999,26.329665000000002,0.0,32.355538,3.6192800000000003,74.010307,0.0,0.0,0.0,0.0,0.0,0.374249,0.0,0.0,0.0,0.0,0.001169,9e-06,0.003101,0.000123,0.010695,0.00213,0.000471,5e-06,0.000502,0.012157,2.661879,0.0049039999999999995,1.8795939999999998,0.185801,5.7258059999999995,1.845489,0.00011499999999999999,3.2e-05,0.007575,840.6025099999999,73.1,19.6,7.3
8,50,0.0,510.0325,53.297975,8.437031,57.7505,0.50025,0.5075,0.0,35.85525,6.245825,9.623175,0.0,0.0046,6.1339999999999995,1.21825,32.582,0.25025,4.808,0.31825,0.0,0.0,0.000185,1e-06,0.006928,4.7e-05,0.002602,0.00031099999999999997,8e-05,2e-06,8.9e-05,0.016308,0.055349,0.001971,0.155593,0.011146,0.191183,0.136898,1.4999999999999999e-05,7.000000000000001e-06,0.000916,120.75,93.1,6.5,0.4
9,51,0.0,686.78237,61.393618999999994,17.454238,504.78495899999996,5.772688,14.201001999999999,0.115625,46.450225,5.2747980000000005,8.5924,0.0,0.005866,6.101053,1.290607,45.875225,0.121875,3.9904,0.41314799999999996,0.000625,0.100625,0.000303,0.0,0.014499000000000001,0.000125,0.003626,0.00014,0.000221,4e-06,0.000175,0.08355,0.191391,0.00613,0.693199,0.05550599999999999,0.372169,0.36921,6.6e-05,1.7e-05,0.0021420000000000002,603.8283799999999,81.4,10.3,8.4
10,52,0.0,379.692886,7.568778,12.028687,35.270943,5.199375,63.506967,0.003664,2.598754,1.667731,2.534437,1.6e-05,0.0033,0.15375999999999998,0.05508,1.3706399999999999,0.00572,0.55612,0.00302,0.00011999999999999999,0.0012439999999999999,3.9e-05,1e-06,0.0013449999999999998,2.9999999999999997e-05,0.003757,0.000205,0.000254,0.0,0.00011200000000000001,0.0045899999999999995,0.110551,0.0026609999999999997,0.17613399999999999,0.043404000000000005,0.6770520000000001,0.140707,9e-06,3.5e-05,0.0008609999999999999,124.51111000000002,18.4,13.0,68.6
11,53,0.0,166.3075,15.30795,2.907813,114.1525,1.131,4.6315,0.0,11.752725,1.139075,2.1417,0.0,0.0015,1.56,0.33,11.73,0.0004,1.02,0.105,0.0,0.0,0.00018899999999999999,0.0,0.002787,2.3e-05,0.000446,0.000165,8.499999999999999e-05,0.0,0.00011,0.035584,0.111325,0.0035189999999999996,0.434355,0.085862,0.277535,0.065208,6e-06,1e-06,0.000301,138.0,82.0,6.9,11.0
12,56,0.0,134.015371,12.646535,1.8605169999999998,123.374715,5.853729,3.478068,0.0,3.189536,8.001495,1.341085,0.0,0.01125,0.7925,0.41375,3.5075,0.0,7.19125,0.2,0.0,0.005,2e-06,0.0,0.007167,1.6e-05,0.00045599999999999997,2.5e-05,2.8999999999999997e-05,0.0,5.9e-05,0.0042899999999999995,0.042041,0.004499,0.19936199999999998,0.020878,0.304433,0.035818,5e-06,0.0,8e-05,149.15641000000002,84.2,5.5,10.3
13,61,7.15,336.66999500000003,5.1523,48.811873999999996,536.912325,2.637,12.279333,1.233333,0.60355,2.416,1.558833,0.0,0.13333299999999998,1.0405,0.248333,0.35700000000000004,0.625,0.216333,0.0015,0.06666699999999999,0.566667,0.000267,0.0,0.005711,6.500000000000001e-05,0.011011,0.000653,0.000312,7.000000000000001e-06,0.001541,0.05119,0.102769,0.014428,1.5802370000000001,0.134997,0.631855,0.5927,8e-06,0.000152,0.0075060000000000005,626.3333200000001,15.9,67.2,16.9
14,68,5.3625,1613.028902,107.06441699999999,50.325722999999996,306.8415,10.225361999999999,102.576002,0.0,78.349886,12.451997,15.487092,0.0,0.009375,9.78375,2.075,73.36,0.101312,6.5275,0.6575,0.0,0.0,0.000338,7.000000000000001e-06,0.021849,9.7e-05,0.017737,0.000391,0.000251,0.0,0.001243,0.028225,0.187169,0.010270999999999999,1.0739940000000001,0.10906700000000001,0.7437699999999999,0.5787100000000001,3.4e-05,8.8e-05,0.0024739999999999996,588.30556,61.2,12.8,26.0
15,72,0.0,465.346321,38.367149,29.159446999999997,212.75764500000002,2.085188,1.126002,0.0,12.583416999999999,4.2815,15.296917,0.0,0.0,0.0,0.0,0.0,0.860667,0.0,0.0,0.0,0.0,0.00082,7.000000000000001e-06,0.0035090000000000004,0.00017900000000000001,0.008864,0.001057,0.000293,5e-06,0.0003,0.079237,0.218908,0.0076,0.6163649999999999,0.036842,0.429596,0.468524,4.6e-05,2.5e-05,0.0031739999999999997,283.37043,74.0,25.0,1.0
16,73,0.0,466.026321,38.371149,29.175447,216.38964500000003,2.089188,1.270002,0.0,12.583416999999999,4.2815,15.296917,0.0,0.0,0.0,0.0,0.0,0.860667,0.0,0.0,0.0,0.0,0.00082,7.000000000000001e-06,0.003511,0.00018,0.008868000000000001,0.001057,0.000295,5e-06,0.000302,0.080717,0.21918800000000002,0.0076040000000000005,0.6212850000000001,0.037082,0.42963599999999996,0.468804,4.6e-05,2.5e-05,0.0031739999999999997,287.37043,73.9,25.0,1.1
